ALSFS.R,ALSFS.py,wv
0.99179034,0.98300525,4989.459023
1.010956039,1.002019803,4989.470168
1.011766221,1.0028414,4989.481313
1.007881506,0.999009399,4989.492456
1.010152165,1.001278502,4989.5036
1.0132993,1.004416422,4989.514742
0.999392035,0.990649194,4989.525884
1.020696245,1.011785482,4989.537025
0.979295114,0.970763434,4989.548166
0.992424133,0.9837959,4989.559306
1.003961686,0.995251126,4989.570445
0.997372261,0.988736679,4989.581584
1.007590942,0.998884817,4989.592723
1.008663875,0.999966377,4989.60386
0.99275069,0.98420797,4989.614997
0.976346605,0.967962262,4989.626133
0.969810321,0.961499158,4989.637269
0.956803023,0.948620102,4989.648404
0.944585232,0.936523307,4989.659539
0.933771348,0.925817986,4989.670673
0.882150596,0.874652233,4989.681806
0.871695313,0.864300914,4989.692939
0.804760018,0.797947308,4989.704071
0.76050385,0.75407888,4989.715202
0.684659492,0.678887026,4989.726333
0.598339562,0.593305107,4989.737463
0.531660645,0.527196296,4989.748593
0.451746,0.447960374,4989.759722
0.41217918,0.40873211,4989.77085
0.359393681,0.356394132,4989.781978
0.346117253,0.343234344,4989.793105
0.353242682,0.350306357,4989.804232
0.410969121,0.407559829,4989.815358
0.461812129,0.457988769,4989.826483
0.532815091,0.528412766,4989.837607
0.612354596,0.607305249,4989.848732
0.679391104,0.673800231,4989.859855
0.73837677,0.732312673,4989.870978
0.767333746,0.761044457,4989.8821
0.812402361,0.805757003,4989.893222
0.818448341,0.811766912,4989.904343
0.80956377,0.802968071,4989.915463
0.786199252,0.779806691,4989.926583
0.743550186,0.737516456,4989.937702
0.709158934,0.703415742,4989.94882
0.688023842,0.682462901,4989.959938
0.662258656,0.656916602,4989.971055
0.678271476,0.672811122,4989.982172
0.704015611,0.698359251,4989.993288
0.730522726,0.724665031,4990.004404
0.785299683,0.779015229,4990.015518
0.828106413,0.821492505,4990.026633
0.883333535,0.876292485,4990.037746
0.90454284,0.897346969,4990.048859
0.93066284,0.923273785,4990.059972
0.936453151,0.929032778,4990.071083
0.957251198,0.949680961,4990.082195
0.981547084,0.97379998,4990.093305
0.983430219,0.975683508,4990.104415
0.982546336,0.974821787,4990.115524
0.995975199,0.988160438,4990.126633
0.971160797,0.963555675,4990.137741
0.98751814,0.979800069,4990.148848
0.989026651,0.981311914,4990.159955
0.990133663,0.982425388,4990.171061
1.000392876,0.992619943,4990.182167
0.991753551,0.98406278,4990.193272
1.007495631,0.999698016,4990.204376
0.994371199,0.98669015,4990.21548
0.995258378,0.987585437,4990.226583
0.998969541,0.991282962,4990.237686
0.984308297,0.97674924,4990.248788
1.007196124,0.99947631,4990.259889
1.000088055,0.992437584,4990.27099
0.9981536,0.990532719,4990.28209
0.986959834,0.979439002,4990.293189
1.000442449,0.992833619,4990.304288
0.989252604,0.981743414,4990.315386
0.995378643,0.987837537,4990.326484
0.99362459,0.98611129,4990.337581
0.975469763,0.968107954,4990.348677
0.979164562,0.971789095,4990.359773
0.961470314,0.954242058,4990.370868
0.941930588,0.934862839,4990.381963
0.952409528,0.945276872,4990.393057
0.985105344,0.977741981,4990.40415
0.970162273,0.962924505,4990.415243
0.980519018,0.973217994,4990.426335
0.978086059,0.970817086,4990.437427
0.99147925,0.984124828,4990.448517
1.007250855,0.999793716,4990.459608
1.010029898,1.002566456,4990.470697
1.009629724,1.002183464,4990.481786
1.005097446,0.997698736,4990.492875
1.023472261,1.015952632,4990.503963
1.014534894,1.007095106,4990.51505
1.002739746,0.995400427,4990.526136
1.012459951,1.005063558,4990.537222
1.009353589,1.001993878,4990.548308
1.004391861,0.997082209,4990.559392
1.002324895,0.995044101,4990.570477
1.013558944,1.006210478,4990.58156
1.01581936,1.00846843,4990.592643
1.010546056,1.0032471,4990.603725
1.014715522,1.007400284,4990.614807
0.997250184,0.990074414,4990.625888
1.00988733,1.002634321,4990.636968
1.00085857,0.993683939,4990.648048
0.993340341,0.986232999,4990.659128
0.998744791,0.991612212,4990.670206
0.997801559,0.990689098,4990.681284
0.993596549,0.986527352,4990.692362
0.993171696,0.986118769,4990.703438
0.967309628,0.960453227,4990.714515
0.978698722,0.971774578,4990.72559
0.970081518,0.963231175,4990.736665
0.977963788,0.971070688,4990.747739
0.946237986,0.939580957,4990.758813
0.945632918,0.938992557,4990.769886
0.941988861,0.935386419,4990.780959
0.946678416,0.940055463,4990.792031
0.946466932,0.939857781,4990.803102
0.946627241,0.940029263,4990.814172
0.973891594,0.967116195,4990.825242
0.974975573,0.968205226,4990.836312
0.950132378,0.943546783,4990.847381
0.980568356,0.9737844,4990.858449
0.97601975,0.969279768,4990.869516
0.987331404,0.980525925,4990.880583
0.985211917,0.978433603,4990.89165
1.005335263,0.998431278,4990.902716
0.98155756,0.974829307,4990.913781
1.006719609,0.999831607,4990.924845
0.994139603,0.987350209,4990.935909
0.993015133,0.986245908,4990.946973
0.993232721,0.986474471,4990.958035
1.000414957,0.993620352,4990.969097
0.992716488,0.985986555,4990.980159
0.991611002,0.984900904,4990.99122
1.000092337,0.993337259,4991.00228
1.002038963,0.995283141,4991.01334
0.995425485,0.988726541,4991.024399
1.00479623,0.998046596,4991.035457
1.009899956,1.003128441,4991.046515
1.00578458,0.999052979,4991.057572
1.015841233,1.009054735,4991.068629
0.999582059,0.992916363,4991.079685
1.01810551,1.011328664,4991.09074
1.014731099,1.007989014,4991.101795
1.021507276,1.014732517,4991.112849
1.016068033,1.0093416,4991.123902
1.017416176,1.010693054,4991.134955
1.010938711,1.004270518,4991.146007
0.996999315,0.990434996,4991.157059
0.99763667,0.991080058,4991.16811
0.97467486,0.968280757,4991.179161
0.980779018,0.974356512,4991.190211
0.965182309,0.958873363,4991.20126
0.933118583,0.927030242,4991.212308
0.88937325,0.88358081,4991.223357
0.858499921,0.852918642,4991.234404
0.806695093,0.80146006,4991.245451
0.748338869,0.743491283,4991.256497
0.71156677,0.70696568,4991.267543
0.684028078,0.679613009,4991.278587
0.661458222,0.657196501,4991.289632
0.687430921,0.68300981,4991.300676
0.715637367,0.711043106,4991.311719
0.743790388,0.739023947,4991.322761
0.799937049,0.794819983,4991.333803
0.846533362,0.841127916,4991.344844
0.862467584,0.856970239,4991.355885
0.903236593,0.897489672,4991.366925
0.917315864,0.911489781,4991.377965
0.947540809,0.941533494,4991.389004
0.947667249,0.94166984,4991.400042
0.968299932,0.962182859,4991.41108
0.975346887,0.96919626,4991.422117
0.979728936,0.97356166,4991.433153
0.982368898,0.976195989,4991.444189
0.984653628,0.978477345,4991.455224
1.000239901,0.993976981,4991.466259
0.984902264,0.978746308,4991.477293
0.98998943,0.983812635,4991.488326
1.007250744,1.000977371,4991.499359
1.020105262,1.013763062,4991.510391
0.992324639,0.986166055,4991.521422
1.004976351,0.998750258,4991.532453
1.016969713,1.01068043,4991.543484
1.005614652,0.999406553,4991.554513
1.007531981,1.001322999,4991.565543
1.001357725,0.995197651,4991.576571
1.003801914,0.997637661,4991.587599
1.008200636,1.002020248,4991.598626
1.007842264,1.001674918,4991.609653
0.992971049,0.986905364,4991.620679
0.993492812,0.987434527,4991.631704
0.988857345,0.982837793,4991.642729
0.995177824,0.989130306,4991.653753
0.992246632,0.986227385,4991.664777
0.98081471,0.974875127,4991.6758
0.988176905,0.98220311,4991.686822
0.998073135,0.992050008,4991.697844
0.984525563,0.978594559,4991.708865
0.998825015,0.992818358,4991.719886
0.962476715,0.956698693,4991.730906
0.97349966,0.967665567,4991.741925
0.969812029,0.964010147,4991.752944
