wv,removed
4614.33849,0.981654453
4614.35024,0.971404826
4614.36199,0.965729349
4614.37373,0.968819808
4614.38548,0.983130491
4614.39723,0.983517136
4614.40898,0.975318458
4614.42073,0.9768881
4614.43248,0.982651383
4614.44423,0.980174562
4614.45597,0.982717778
4614.46772,0.951650525
4614.47947,0.953646007
4614.49122,0.924436813
4614.50297,0.926781938
4614.51472,0.926670117
4614.52647,0.913937669
4614.53822,0.929723768
4614.54997,0.91070216
4614.56172,0.909433381
4614.57347,0.913216172
4614.58522,0.919418972
4614.59697,0.923978982
4614.60872,0.958883657
4614.62047,0.962656842
4614.63222,0.960292788
4614.64397,0.961711429
4614.65572,0.973147493
4614.66747,0.972135697
4614.67922,0.958980842
4614.69097,0.956051266
4614.70272,0.948984045
4614.71447,0.950447243
4614.72622,0.948909599
4614.73797,0.922696514
4614.74972,0.948908465
4614.76147,0.965136131
4614.77322,0.95868979
4614.78497,0.977683774
4614.79672,0.990509977
4614.80847,0.986221046
4614.82022,0.998206748
4614.83197,1.001293587
4614.84372,0.991656834
4614.85547,1.004789973
4614.86723,1.020216348
4614.87898,1.019857921
4614.89073,1.031656037
4614.90248,1.018538854
4614.91423,1.012426502
4614.92598,1.016571361
4614.93773,1.015431178
4614.94948,1.018402665
4614.96124,0.998933116
4614.97299,1.002923637
4614.98474,1.012297448
4614.99649,0.999454488
4615.00824,1.001908081
4615.01999,1.006447607
4615.03175,1.008450747
4615.0435,1.007557779
4615.05525,1.017077367
4615.067,1.004053853
4615.07875,1.003265424
4615.09051,1.019622032
4615.10226,1.016490221
4615.11401,0.993214719
4615.12576,1.010895783
4615.13752,1.00328959
4615.14927,0.998482514
4615.16102,0.982812374
4615.17277,1.000192306
4615.18453,0.999384368
4615.19628,1.013365247
4615.20803,0.990876587
4615.21978,1.008194513
4615.23154,0.992628042
4615.24329,0.989074492
4615.25504,0.991965929
4615.2668,1.018073119
4615.27855,0.998300972
4615.2903,1.011794673
4615.30205,1.023055808
4615.31381,1.015001878
4615.32556,1.00995113
4615.33732,1.017072774
4615.34907,0.99902311
4615.36082,1.002986424
4615.37258,1.009515588
4615.38433,1.006540638
4615.39608,1.003802121
4615.40784,1.000423634
4615.41959,0.990436929
4615.43134,0.973825993
4615.4431,0.983368015
4615.45485,0.989288667
4615.46661,0.994744339
4615.47836,0.970670076
4615.49011,0.955931765
4615.50187,0.94511242
4615.51362,0.864871903
4615.52538,0.827469654
4615.53713,0.747347066
4615.54889,0.687211205
4615.56064,0.652104909
4615.5724,0.653822898
4615.58415,0.697192352
4615.59591,0.754076308
4615.60766,0.818029036
4615.61941,0.898012602
4615.63117,0.92521121
4615.64292,0.942782292
4615.65468,0.953841584
4615.66643,0.931780795
4615.67819,0.937706011
4615.68995,0.936610921
4615.7017,0.944557065
4615.71346,0.952666028
4615.72521,0.953389186
4615.73697,0.971715118
4615.74872,0.962197766
4615.76048,0.972943041
4615.77223,0.982790002
4615.78399,0.975583319
4615.79574,0.988045337
4615.8075,0.992840391
4615.81926,0.982106354
4615.83101,0.980677801
4615.84277,0.999099421
4615.85452,1.004299872
4615.86628,0.999099859
4615.87804,0.97813121
4615.88979,0.974858742
4615.90155,0.984263631
4615.91331,0.98400739
4615.92506,0.965393388
4615.93682,0.971265051
4615.94858,0.981693281
4615.96033,0.969373672
4615.97209,0.971968671
4615.98385,0.98361352
4615.9956,0.988541649
4616.00736,0.963752407
4616.01912,0.96222733
4616.03087,0.932023571
4616.04263,0.880535232
4616.05439,0.815145209
4616.06614,0.717743673
4616.0779,0.596443475
4616.08966,0.462547076
4616.10142,0.343271162
4616.11317,0.249838248
4616.12493,0.203025011
4616.13669,0.205648111
4616.14845,0.260142845
4616.1602,0.373160762
4616.17196,0.520030452
4616.18372,0.653534819
4616.19548,0.755359952
4616.20723,0.846061556
4616.21899,0.900591555
4616.23075,0.917582006
4616.24251,0.941678896
4616.25427,0.942370321
4616.26602,0.949716985
4616.27778,0.975462843
4616.28954,0.983692973
4616.3013,1.000210609
4616.31306,0.980303887
4616.32482,0.990782279
4616.33657,0.991671664
4616.34833,0.9966415
4616.36009,0.974118181
4616.37185,0.996935537
4616.38361,1.006309299
4616.39537,1.001696372
4616.40713,0.997433307
4616.41889,0.983700695
4616.43064,0.986119233
4616.4424,0.97200045
4616.45416,0.966692544
4616.46592,0.962262421
4616.47768,0.973780339
4616.48944,0.962660792
4616.5012,0.964402898
4616.51296,0.958839517
4616.52472,0.947030669
4616.53648,0.929070179
4616.54824,0.911476149
4616.56,0.888103008
4616.57176,0.817816585
4616.58352,0.740947503
4616.59528,0.674218252
4616.60704,0.59819642
4616.6188,0.554823129
4616.63056,0.574968909
4616.64232,0.587760642
4616.65408,0.665207721
4616.66584,0.745387916
4616.6776,0.797757505
4616.68936,0.864353537
4616.70112,0.908799025
4616.71288,0.924000393
4616.72464,0.94548422
4616.7364,0.948198378
4616.74816,0.948585257
4616.75992,0.973746746
4616.77168,0.974928937
4616.78344,0.983851894
4616.7952,0.993983779
4616.80696,0.974971855
4616.81872,0.994891331
4616.83049,0.982271428
4616.84225,0.98946125
4616.85401,0.993161871
4616.86577,1.003313223
4616.87753,0.993194679
4616.88929,0.993018951
4616.90105,1.000471984
4616.91281,1.006278296
4616.92458,1.014555104
4616.93634,1.010024072
4616.9481,0.992087635
4616.95986,0.994425733
4616.97162,1.002502372
4616.98338,0.996857511
4616.99515,0.997574726
4617.00691,1.004566505
4617.01867,0.995907186
4617.03043,0.993687877
4617.04219,0.998150076
4617.05396,0.984957456
4617.06572,0.977938589
4617.07748,0.992404308
4617.08924,0.983185354
4617.10101,0.998395914
4617.11277,1.001225628
4617.12453,0.984748458
4617.13629,0.97801777
4617.14806,0.980307474
4617.15982,0.967476879
4617.17158,0.942077063
4617.18334,0.929354774
4617.19511,0.904482659
4617.20687,0.824187316
4617.21863,0.735856513
4617.2304,0.648017564
4617.24216,0.513257115
4617.25392,0.41648644
4617.26569,0.364058111
4617.27745,0.351151701
4617.28921,0.402933084
4617.30098,0.496353788
4617.31274,0.631383444
4617.3245,0.73580813
4617.33627,0.833138081
4617.34803,0.885347821
4617.35979,0.919333448
4617.37156,0.94332282
4617.38332,0.958301225
4617.39509,0.976721089
4617.40685,0.969645632
4617.41861,0.95956269
4617.43038,0.980711042
4617.44214,0.957447019
4617.45391,0.957073075
4617.46567,0.955572145
4617.47743,0.946118561
4617.4892,0.955454173
4617.50096,0.970442405
4617.51273,0.977600495
4617.52449,0.960126145
4617.53626,0.965810296
4617.54802,0.963273423
4617.55979,0.975804479
4617.57155,0.974509139
4617.58332,0.969305209
4617.59508,0.973788576
4617.60685,0.99025034
4617.61861,0.991535142
4617.63038,0.976692345
4617.64214,0.972160148
4617.65391,0.968242071
4617.66567,0.979310987
4617.67744,0.981866924
4617.6892,0.972802657
4617.70097,0.984374975
4617.71273,0.988867644
4617.7245,0.976245013
4617.73626,0.973910069
4617.74803,0.979670067
4617.7598,0.966558226
4617.77156,0.958662403
4617.78333,0.959084191
4617.79509,0.966327213
4617.80686,0.939878856
4617.81863,0.938975596
4617.83039,0.914328735
4617.84216,0.892191971
4617.85392,0.890154234
4617.86569,0.893918873
4617.87746,0.885687411
4617.88922,0.916665856
4617.90099,0.910861298
4617.91276,0.914963999
4617.92452,0.907012061
4617.93629,0.895266071
4617.94806,0.887325115
4617.95982,0.873829637
4617.97159,0.892792833
4617.98336,0.902059946
4617.99512,0.915671188
4618.00689,0.942432655
4618.01866,0.960404909
4618.03042,0.960533778
4618.04219,0.966095146
4618.05396,0.970200215
4618.06573,0.967024877
4618.07749,0.963400603
4618.08926,0.968220862
4618.10103,0.972227906
4618.1128,0.968726927
4618.12456,0.979618858
4618.13633,0.966005609
4618.1481,0.978462363
4618.15987,0.979374406
4618.17164,0.979642733
4618.1834,0.970966688
4618.19517,0.982270842
4618.20694,0.975037189
4618.21871,0.980437511
4618.23048,0.968732658
4618.24224,0.983079344
4618.25401,0.976023486
4618.26578,0.972779343
4618.27755,0.980186068
4618.28932,0.970989463
4618.30109,0.972170476
4618.31285,0.951966851
4618.32462,0.936242087
4618.33639,0.93515704
4618.34816,0.946773639
4618.35993,0.946269157
4618.3717,0.955686677
4618.38347,0.953721303
4618.39524,0.961571744
4618.407,0.956952006
4618.41877,0.957668212
4618.43054,0.956871195
4618.44231,0.96495602
4618.45408,0.95453237
4618.46585,0.944959972
4618.47762,0.950695197
4618.48939,0.935967302
4618.50116,0.948072895
4618.51293,0.942712632
4618.5247,0.949529924
4618.53647,0.960918042
4618.54824,0.957993289
4618.56001,0.969662652
4618.57178,0.973744856
4618.58355,0.970895005
4618.59532,0.97014976
4618.60709,0.970391709
4618.61886,0.962975405
4618.63063,0.968255986
4618.6424,0.967983846
4618.65417,0.944821899
4618.66594,0.933816484
4618.67771,0.910685987
4618.68948,0.8774843
4618.70125,0.817483269
4618.71302,0.720908369
4618.72479,0.614330602
4618.73656,0.503892232
4618.74833,0.406573584
4618.7601,0.343325928
4618.77188,0.312519906
4618.78365,0.303568418
4618.79542,0.316512222
4618.80719,0.328687088
4618.81896,0.375317179
4618.83073,0.455373485
4618.8425,0.554839848
4618.85427,0.655666834
4618.86604,0.735443504
4618.87782,0.813627959
4618.88959,0.861165212
4618.90136,0.890494245
4618.91313,0.915450434
4618.9249,0.927263005
4618.93667,0.940099945
4618.94845,0.934575293
4618.96022,0.946069848
4618.97199,0.932588338
4618.98376,0.94818435
4618.99553,0.951093022
4619.00731,0.950178249
4619.01908,0.949859894
4619.03085,0.949166627
4619.04262,0.957393622
4619.0544,0.957345749
4619.06617,0.959466233
4619.07794,0.955701585
4619.08971,0.950783451
4619.10149,0.95415607
4619.11326,0.952951685
4619.12503,0.936256281
4619.1368,0.953906535
4619.14858,0.937515525
4619.16035,0.943097871
4619.17212,0.941501482
