AFS.py,AFS.R,wv,AFS_rpy.py
1.008381593,1.001522832,4989.459023,1.001522832
1.027556154,1.020633112,4989.470168,1.020633112
1.02806943,1.021208686,4989.481313,1.021208686
1.023815389,1.017047954,4989.492456,1.017047954
1.025816251,1.01910009,4989.5036,1.01910009
1.028707818,1.022036847,4989.514742,1.022036847
1.01429075,1.007775955,4989.525884,1.007775955
1.035609955,1.029021677,4989.537025,1.029021677
0.993315191,0.987056503,4989.548166,0.987056503
1.006341594,1.000061615,4989.559306,1.000061615
1.017749004,1.011458781,4989.570445,1.011458781
1.010780791,1.004593716,4989.581584,1.004593716
1.020847417,1.014658879,4989.592723,1.014658879
1.021647124,1.015513181,4989.60386,1.015513181
1.005246641,0.999270565,4989.614997,0.999270565
0.988360181,0.982542388,4989.626133,0.982542388
0.981471132,0.975750889,4989.637269,0.975750889
0.968040599,0.962454363,4989.648404,0.962454363
0.955417525,0.949958662,4989.659539,0.949958662
0.944222624,0.938881144,4989.670673,0.938881144
0.89178298,0.886788164,4989.681806,0.886788164
0.880976756,0.876091444,4989.692939,0.876091444
0.813111677,0.808647507,4989.704071,0.808647507
0.768192497,0.764016904,4989.715202,0.764016904
0.691399096,0.687678357,4989.726333,0.687678357
0.604071276,0.600852907,4989.737463,0.600852907
0.536613947,0.533783523,4989.748593,0.533783523
0.455836911,0.453456587,4989.759722,0.453456587
0.415805,0.413655445,4989.77085,0.413655445
0.36246264,0.360607618,4989.781978,0.360607618
0.348984358,0.347216228,4989.793105,0.347216228
0.356079075,0.354293115,4989.804232,0.354293115
0.414165361,0.412108942,4989.815358,0.412108942
0.465288108,0.463001101,4989.826483,0.463001101
0.53669296,0.534081553,4989.837607,0.534081553
0.616659896,0.613689651,4989.848732,0.613689651
0.684000969,0.680739621,4989.859855,0.680739621
0.743206788,0.739698955,4989.870978,0.739698955
0.772167356,0.7685597,4989.8821,0.7685597
0.817324375,0.813544409,4989.893222,0.813544409
0.823211424,0.819442822,4989.904343,0.819442822
0.814083077,0.810394075,4989.915463,0.810394075
0.790402785,0.786857467,4989.926583,0.786857467
0.747351643,0.744033506,4989.937702,0.744033506
0.712619743,0.709488003,4989.94882,0.709488003
