wv,removed
4649.61625,0.881195568
4649.62818,0.902400258
4649.64011,0.872819596
4649.65204,0.874760584
4649.66397,0.8861859
4649.6759,0.908613426
4649.68783,0.907274889
4649.69976,0.933970473
4649.71169,0.939637255
4649.72361,0.94961462
4649.73554,0.957693784
4649.74747,0.953861825
4649.7594,0.930727708
4649.77133,0.920842303
4649.78326,0.865157106
4649.79519,0.846730365
4649.80712,0.823478115
4649.81905,0.806059758
4649.83098,0.812489301
4649.84291,0.857786715
4649.85484,0.933895786
4649.86677,0.928634735
4649.8787,0.980403371
4649.89063,0.997962128
4649.90256,1.021045167
4649.91449,1.004422479
4649.92642,1.009026163
4649.93835,1.011504193
4649.95028,1.002442693
4649.96221,0.978739598
4649.97414,0.921195456
4649.98607,0.872989911
4649.998,0.840389873
4650.00993,0.802595759
4650.02186,0.813278814
4650.0338,0.863114496
4650.04573,0.872998875
4650.05766,0.933048235
4650.06959,0.963519972
4650.08152,0.965652123
4650.09345,0.970400062
4650.10538,0.966370594
4650.11731,0.975975303
4650.12924,0.984340139
4650.14118,0.989210211
4650.15311,1.003235102
4650.16504,1.021848744
4650.17697,1.010780612
4650.1889,0.999148797
4650.20083,1.000279792
4650.21276,0.993981093
4650.2247,0.989011743
4650.23663,0.994112309
4650.24856,0.98722594
4650.26049,0.971547599
4650.27242,0.93167246
4650.28436,0.924306274
4650.29629,0.882696097
4650.30822,0.854286989
4650.32015,0.879714775
4650.33208,0.89209354
4650.34402,0.908748632
4650.35595,0.948830151
4650.36788,0.963773972
4650.37981,0.996462973
4650.39175,1.004391716
4650.40368,1.005400921
4650.41561,1.031536511
4650.42755,1.010792468
4650.43948,1.018400363
4650.45141,1.020015373
4650.46334,1.015052701
4650.47528,1.015785369
4650.48721,0.998036481
4650.49914,1.003509093
4650.51108,0.96656334
4650.52301,0.957917158
4650.53494,0.955081158
4650.54688,0.942963335
4650.55881,0.93579036
4650.57074,0.958466256
4650.58268,0.96447685
4650.59461,0.988858133
4650.60655,0.992769049
4650.61848,1.000830276
4650.63041,1.020813846
4650.64235,1.020876674
4650.65428,1.01117378
4650.66621,1.038195223
4650.67815,1.019522131
4650.69008,1.027512536
4650.70202,1.023572215
4650.71395,1.023581036
4650.72589,1.021647666
4650.73782,1.016502916
4650.74975,0.996612726
4650.76169,0.995192222
4650.77362,0.994415518
4650.78556,0.980068841
4650.79749,0.972021362
4650.80943,0.954556341
4650.82136,0.969034459
4650.8333,0.971230227
4650.84523,0.965239846
4650.85717,0.986805533
4650.8691,0.970570632
4650.88104,1.007895167
4650.89297,0.987090215
4650.90491,1.007890263
4650.91684,1.014255601
4650.92878,1.004812913
4650.94071,0.993614298
4650.95265,0.988417065
4650.96459,0.991809742
4650.97652,0.992503831
4650.98846,1.001094245
4651.00039,0.98861333
4651.01233,0.983908568
4651.02426,0.982161832
4651.0362,0.981185318
4651.04814,0.978501908
4651.06007,0.98629225
4651.07201,0.987806976
4651.08394,0.959712375
4651.09588,0.96167995
4651.10782,0.95457987
4651.11975,0.965347191
4651.13169,0.944309778
4651.14363,0.953626526
4651.15556,0.96725558
4651.1675,0.973137113
4651.17944,0.964666497
4651.19137,0.96109378
4651.20331,0.923270704
4651.21525,0.865115921
4651.22718,0.759407512
4651.23912,0.640065574
4651.25106,0.502963806
4651.26299,0.391265931
4651.27493,0.289879831
4651.28687,0.254293963
4651.29881,0.269172944
4651.31074,0.339280229
4651.32268,0.46492296
4651.33462,0.615283166
4651.34656,0.716134216
4651.35849,0.787966001
4651.37043,0.845985591
4651.38237,0.900228497
4651.39431,0.932663619
4651.40624,0.934781999
4651.41818,0.953656637
4651.43012,0.963309892
4651.44206,0.987730176
4651.454,0.968246856
4651.46593,0.993493199
4651.47787,0.982514059
4651.48981,0.985264647
4651.50175,0.985703887
4651.51369,0.972728804
4651.52563,0.979259211
4651.53757,0.995205818
4651.5495,0.989061294
4651.56144,1.005180513
4651.57338,0.974164342
4651.58532,0.996589614
4651.59726,1.005154661
4651.6092,0.993460204
4651.62114,0.980443368
4651.63308,0.987378146
4651.64501,0.997653228
4651.65695,0.993223732
4651.66889,1.006207275
4651.68083,1.004300693
4651.69277,0.99370846
4651.70471,1.010472605
4651.71665,1.000441784
4651.72859,1.016142113
4651.74053,1.013353552
4651.75247,1.006686895
4651.76441,1.008788164
4651.77635,1.001074993
4651.78829,1.008858284
4651.80023,1.013200283
4651.81217,0.997021479
4651.82411,1.004767852
4651.83605,0.99726933
4651.84799,1.011147613
4651.85993,1.003310628
4651.87187,1.007309298
4651.88381,1.015887324
4651.89575,1.016054551
4651.90769,1.010204261
4651.91963,1.00737069
4651.93157,1.023278951
4651.94351,1.006055714
4651.95545,1.015909739
4651.96739,0.991726575
4651.97933,0.979980771
4651.99127,0.99804391
4652.00321,0.981498052
4652.01516,0.956817328
4652.0271,0.957053325
4652.03904,0.9620711
4652.05098,0.925491624
4652.06292,0.901216188
4652.07486,0.870515482
4652.0868,0.791965651
4652.09874,0.684857904
4652.11069,0.578562919
4652.12263,0.432257151
4652.13457,0.319385421
4652.14651,0.231682842
4652.15845,0.186597715
4652.17039,0.187996774
4652.18234,0.22613941
4652.19428,0.328488603
4652.20622,0.443817634
4652.21816,0.561271172
4652.2301,0.654557742
4652.24205,0.710582098
4652.25399,0.775457847
4652.26593,0.822489081
4652.27787,0.877379314
4652.28981,0.895803134
4652.30176,0.940525512
4652.3137,0.946692724
4652.32564,0.957425963
4652.33758,0.984256342
4652.34953,0.987388011
4652.36147,0.98309523
4652.37341,0.986051599
4652.38536,0.996158607
4652.3973,0.986673094
4652.40924,0.985570434
4652.42118,0.989258152
4652.43313,0.983771683
4652.44507,0.984070673
4652.45701,0.985361105
4652.46896,0.991017574
4652.4809,0.994521612
4652.49284,0.985962671
4652.50479,0.984154164
4652.51673,0.995499722
4652.52867,0.983704538
4652.54062,0.983599969
4652.55256,0.992324025
4652.56451,0.979216975
4652.57645,0.984468983
4652.58839,0.986175544
4652.60034,0.997883667
4652.61228,0.992443753
4652.62423,0.994505948
4652.63617,0.984771458
4652.64811,1.00471297
4652.66006,0.973716446
4652.672,0.980866967
4652.68395,0.968712291
4652.69589,0.994762627
4652.70784,0.979130559
4652.71978,0.990467131
4652.73173,0.993099959
4652.74367,0.982429768
4652.75561,0.986353199
4652.76756,0.973695979
4652.7795,0.989836382
4652.79145,0.982139789
4652.80339,0.984815923
4652.81534,0.980744318
4652.82728,0.990586584
4652.83923,0.976006385
4652.85118,0.974558702
4652.86312,0.992113223
4652.87507,0.997715929
4652.88701,0.990978231
4652.89896,0.992473173
4652.9109,0.987496977
4652.92285,0.996899108
4652.93479,1.005789221
4652.94674,0.999444723
4652.95869,0.993125739
4652.97063,1.00051141
4652.98258,0.986210103
4652.99452,0.985821185
4653.00647,0.995078857
4653.01842,0.991910762
4653.03036,0.99197513
4653.04231,0.978730702
4653.05425,0.987269731
4653.0662,0.988366003
4653.07815,0.996443413
4653.09009,0.987132269
4653.10204,0.994185582
4653.11399,0.992501939
4653.12593,0.996032656
4653.13788,1.008140867
4653.14983,1.005407918
4653.16177,1.009595715
4653.17372,1.0054858
4653.18567,0.99422868
4653.19761,0.998656917
4653.20956,0.992021804
4653.22151,0.996805352
4653.23346,0.972901671
4653.2454,0.981574903
4653.25735,0.9641537
4653.2693,0.953469391
4653.28125,0.941317744
4653.29319,0.925082512
4653.30514,0.916006325
4653.31709,0.907141869
4653.32904,0.895293552
4653.34098,0.880848647
4653.35293,0.877974984
4653.36488,0.880728735
4653.37683,0.872584719
4653.38878,0.883090406
4653.40072,0.912414666
4653.41267,0.916562
4653.42462,0.912674194
4653.43657,0.920207757
4653.44852,0.918464873
4653.46046,0.897587165
4653.47241,0.886722605
4653.48436,0.870461606
4653.49631,0.864107846
4653.50826,0.875949714
4653.52021,0.895821478
4653.53216,0.930746977
4653.5441,0.941697855
4653.55605,0.956542487
4653.568,0.97379769
4653.57995,0.971878821
4653.5919,0.973030101
4653.60385,0.969479404
4653.6158,0.970772515
4653.62775,0.970641093
4653.6397,0.983773294
4653.65165,0.975408692
4653.6636,0.970724705
4653.67555,0.977601892
4653.6875,0.976776302
4653.69945,0.993034917
4653.71139,0.991319797
4653.72334,0.980395829
4653.73529,0.983897282
4653.74724,0.983481311
4653.75919,0.975968364
4653.77114,0.964427911
4653.78309,0.98078869
4653.79504,0.965892526
4653.80699,0.972489444
4653.81894,0.974347828
4653.83089,0.976527274
4653.84285,0.964194392
4653.8548,0.968283706
4653.86675,0.980269079
4653.8787,0.975436145
4653.89065,0.984211183
4653.9026,0.970065965
4653.91455,0.978747558
4653.9265,0.974358258
4653.93845,0.981309991
4653.9504,0.981719154
4653.96235,0.971152808
4653.9743,0.985114275
4653.98625,0.982695298
4653.99821,0.958236402
4654.01016,0.971053979
4654.02211,0.951407079
4654.03406,0.961065527
4654.04601,0.961066225
4654.05796,0.945170221
4654.06991,0.952047442
4654.08186,0.944146322
4654.09382,0.920298586
4654.10577,0.895221987
4654.11772,0.852468387
4654.12967,0.815421004
4654.14162,0.777056147
4654.15358,0.774070157
4654.16553,0.776712182
4654.17748,0.822576403
4654.18943,0.854259358
4654.20138,0.903822285
4654.21334,0.931050409
4654.22529,0.95934932
4654.23724,0.970783551
4654.24919,0.972568589
4654.26115,0.956841922
4654.2731,0.961352246
4654.28505,0.961922289
4654.297,0.955207548
4654.30896,0.955712995
4654.32091,0.975544341
4654.33286,0.961349558
4654.34482,0.964916606
4654.35677,0.969193508
4654.36872,0.975315216
4654.38067,0.950485851
4654.39263,0.941658332
4654.40458,0.907758701
4654.41653,0.871299612
4654.42849,0.803524651
4654.44044,0.70933054
4654.45239,0.57538936
4654.46435,0.447803976
4654.4763,0.330981171
4654.48825,0.249811957
4654.50021,0.210397394
4654.51216,0.20892291
4654.52412,0.243592805
4654.53607,0.30466175
4654.54802,0.36906118
4654.55998,0.395796585
4654.57193,0.376546644
4654.58389,0.334703183
4654.59584,0.276524371
4654.60779,0.238600221
4654.61975,0.209375391
4654.6317,0.204854635
4654.64366,0.237030902
4654.65561,0.287462869
4654.66757,0.37718083
4654.67952,0.472963548
4654.69148,0.544055973
4654.70343,0.59743554
4654.71539,0.64174337
4654.72734,0.678876434
4654.7393,0.726713252
4654.75125,0.781141974
4654.76321,0.826343226
4654.77516,0.871092222
4654.78712,0.902001883
4654.79907,0.924984547
4654.81103,0.93730144
4654.82298,0.966437062
4654.83494,0.956288406
4654.84689,0.967947411
4654.85885,0.967855505
4654.8708,0.981493154
4654.88276,0.973964082
4654.89472,0.982589675
4654.90667,0.980709024
4654.91863,0.991333974
4654.93058,0.996194953
4654.94254,0.996256631
4654.9545,0.987282377
4654.96645,0.985284842
4654.97841,0.992504329
4654.99036,0.999297195
4655.00232,0.995506268
4655.01428,0.992285768
4655.02623,0.991278363
4655.03819,0.976407189
4655.05015,0.975195984
4655.0621,0.985430422
4655.07406,0.976130336
4655.08602,0.975633631
4655.09797,0.977295934
4655.10993,0.977452429
4655.12189,0.96365049
4655.13384,0.967531298
4655.1458,0.978305681
4655.15776,0.962648195
4655.16972,0.95595739
4655.18167,0.953117115
4655.19363,0.957205848
4655.20559,0.951843701
4655.21754,0.941525909
4655.2295,0.935303801
4655.24146,0.939271576
4655.25342,0.936474027
4655.26537,0.942752143
4655.27733,0.952992608
4655.28929,0.954589538
4655.30125,0.962961599
4655.31321,0.978535565
4655.32516,0.989079216
4655.33712,0.983454735
4655.34908,0.984163964
4655.36104,0.992828547
4655.373,0.98762422
4655.38495,0.979046468
4655.39691,0.976831135
4655.40887,0.980275217
4655.42083,0.979820896
4655.43279,0.976170316
4655.44475,0.979499655
4655.45671,0.970835085
4655.46866,0.973246198
4655.48062,0.989207563
4655.49258,0.979495789
4655.50454,0.975791305
4655.5165,0.97831381
4655.52846,0.973781229
